id,sales,date,store_nbr,family,onpromotion,weekday,month,day,payday,dcoilwtico,city,state,type,cluster,event_name,earthquake,local_holiday_name,regional_holiday_name,national_holiday_name,transactions
3000888,3.815462,2017-08-16,1,AUTOMOTIVE,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000889,0.045933127,2017-08-16,1,BABY CARE,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000890,5.5028377,2017-08-16,1,BEAUTY,2,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000891,2200.5134,2017-08-16,1,BEVERAGES,20,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000892,0.20417154,2017-08-16,1,BOOKS,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000893,419.6824,2017-08-16,1,BREAD/BAKERY,12,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000894,11.79604,2017-08-16,1,CELEBRATION,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000895,745.6025,2017-08-16,1,CLEANING,25,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000896,874.5972,2017-08-16,1,DAIRY,45,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000897,188.39694,2017-08-16,1,DELI,18,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000898,150.334,2017-08-16,1,EGGS,1,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000899,119.62539,2017-08-16,1,FROZEN FOODS,1,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000900,3143.561,2017-08-16,1,GROCERY I,64,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000901,26.181522,2017-08-16,1,GROCERY II,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000902,1.8180697,2017-08-16,1,HARDWARE,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000903,20.717012,2017-08-16,1,HOME AND KITCHEN I,2,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000904,38.713673,2017-08-16,1,HOME AND KITCHEN II,6,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000905,0.58482575,2017-08-16,1,HOME APPLIANCES,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000906,196.65834,2017-08-16,1,HOME CARE,10,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000907,13.839083,2017-08-16,1,LADIESWEAR,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000908,38.288734,2017-08-16,1,LAWN AND GARDEN,16,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000909,16.631395,2017-08-16,1,LINGERIE,5,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000910,90.295456,2017-08-16,1,"LIQUOR,WINE,BEER",9,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000911,5.605039,2017-08-16,1,MAGAZINES,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
3000912,283.4489,2017-08-16,1,MEATS,0,2,8,16,0,46.8,18,12,3,12,0,0,0,0,0,0.0
